date,price,supply,capital,trade,wiki
2017-08-17,4328.725716666667,16512750.0,71479165577.8875,351792037.6683817,38805
2017-08-18,4130.440066666667,16514612.5,68212617155.474174,373082615.7580361,38499
2017-08-19,4222.662214285714,16516500.0,69743600462.25,322665040.3965485,35335
2017-08-20,4157.958033333333,16518125.0,68681670539.354164,177654410.0991067,36346
2017-08-21,4043.722,16519562.5,66800518311.625,123200186.5123889,37991
2017-08-22,4082.180983333333,16520675.0,67440385316.830414,504190986.2284156,41910
2017-08-23,4174.95,16522662.5,68981289804.375,257486335.94864237,40176
2017-08-24,4340.316716666667,16523925.0,71719067902.44626,218844386.90985695,37747
2017-08-25,4363.05445,16525187.5,72100292858.95937,246665524.6292582,35538
2017-08-26,4360.5133166666665,16526500.0,72064023327.89166,139377309.63647735,31638
2017-08-27,4354.308333333333,16528437.5,71969913143.22917,112660557.88651253,29011
2017-08-28,4391.673516666667,16530050.0,72594582814.17583,209634566.49566853,32545
2017-08-29,4607.98545,16531912.5,76178812260.67313,317010671.8548901,35649
2017-08-30,4594.98785,16534012.5,75973586549.24814,202687613.63990694,37497
2017-08-31,4748.255,16536050.0,78517382092.75,220351499.90188968,40717
2017-09-01,4911.740016666667,16538225.0,81231461537.13708,338585244.3527807,37745
2017-09-02,4580.387479999999,16540275.0,75760868525.75699,440710136.09662324,34203
2017-09-03,4648.159983333334,16542200.0,76890792076.29668,308302328.0212997,33920
2017-09-04,4344.0983166666665,16544387.5,71870445889.03104,513527217.62500376,40423
2017-09-05,4488.72014,16546850.0,74274178848.559,467133132.4971322,40049
2017-09-06,4641.822016666666,16548875.0,76816932326.06458,384503428.8177615,39593
2017-09-07,4654.6585000000005,16551075.0,77039601932.88751,222544560.6030448,39771
2017-09-08,4310.750183333334,16553262.5,71356979356.6398,503768705.75522035,32450
2017-09-09,4375.55952,16555375.0,72439028688.42,117381164.67126147,29221
2017-09-10,4329.955,16557100.0,71691497930.5,331793077.94070375,29004
2017-09-11,4248.090016666666,16559275.0,70345290810.7379,250115590.4300298,31487
2017-09-12,4219.036616666667,16561625.0,69874102306.50209,311636501.2654974,36669
2017-09-13,3961.2712666666666,16564000.0,65614497261.066666,541722553.5428387,51285
2017-09-14,3319.6299999999997,16566175.0,54993571515.24999,736178849.3809645,46945
2017-09-15,3774.2652833333336,16568425.0,62533631277.012085,1267434715.9679632,45844
2017-09-16,3763.62604,16570537.5,62365306431.7965,474370445.6741123,35393
2017-09-17,3746.060783333333,16572737.5,62082482021.2277,249840870.73816603,33829
2017-09-18,4093.316666666667,16574325.0,67843960761.25001,425335356.12640965,39631
2017-09-19,3943.4133333333334,16576275.0,65367103852.0,349157038.32297957,38494
2017-09-20,3977.5616666666665,16577737.5,65938973200.0625,229919029.84766248,34188
2017-09-21,3658.8981833333332,16579937.5,60664303198.530205,385065464.59772885,31065
2017-09-22,3637.5025499999997,16581675.0,60315885095.77125,317303697.7252074,28590
2017-09-23,3776.3869,16583750.0,62626656252.875,179361985.99126774,22355
2017-09-24,3703.0406500000004,16585562.5,61417012140.61563,138592392.42948055,23710
2017-09-25,3942.5550000000003,16587125.0,65395652604.37501,284073950.9391744,26521
2017-09-26,3910.3073833333333,16588850.0,64867502636.00916,175299977.81306127,26945
2017-09-27,4202.554983333333,16590687.5,69723276430.05104,357673848.68951017,27887
2017-09-28,4201.98905,16592900.0,69723184107.745,275531143.16024274,26235
2017-09-29,4193.574666666666,16595012.5,69592424013.01666,289284083.40954936,25139
2017-09-30,4335.368316666667,16596737.5,71952969917.53354,222088521.6719822,21560
2017-10-01,4360.722966666667,16598362.5,72380860562.80876,171779832.26780057,23638
2017-10-02,4386.88375,16600237.5,72823312134.89062,250398347.64562908,26007
2017-10-03,4293.3066,16602525.0,71279730159.165,256471830.90792736,26996
2017-10-04,4225.175,16604200.0,70155650735.0,204003764.2335958,29069
2017-10-05,4338.852,16605762.5,72049945834.65,87904264.41542768,26853
2017-10-06,4345.6033333333335,16607750.0,72170693759.16667,205812106.35166645,24784
2017-10-07,4376.191666666667,16609725.0,72687340130.625,89524651.87038891,22487
2017-10-08,4602.280883333334,16612000.0,76453090033.93333,282133882.84246814,23976
2017-10-09,4777.967816666666,16614012.5,79381217030.69771,397258570.199554,28288
2017-10-10,4782.28,16616012.5,79462424258.5,347920434.56,29241
2017-10-11,4819.485766666667,16617750.0,80089009599.025,296445764.4234614,31418
2017-10-12,5325.130683333333,16619662.5,88501874725.39436,680358364.3266706,45338
